horizon,safe_set_bin,state_variant,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement
5,1-5,S0,normalized,55,37,0.14705184793183146,0.3465705733436916,0.2972972972972973
5,1-5,S0,raw,55,37,0.18836800261062156,0.44829259808952526,0.35135135135135137
5,1-5,S1,normalized,55,37,0.13918341710458,0.2599003865161922,0.2972972972972973
5,1-5,S1,raw,55,37,0.15957209676167924,0.2883252698231772,0.32432432432432434
5,1-5,S2,normalized,55,37,0.10673032420302891,0.3029049580310235,0.2972972972972973
5,1-5,S2,raw,55,37,0.14925120781953172,0.4143296392850321,0.32432432432432434
5,1-5,S3,normalized,55,37,0.13188225772389825,0.3300077537423347,0.2972972972972973
5,1-5,S3,raw,55,37,0.15483577877519375,0.3223323007563402,0.32432432432432434
5,16-28,S0,normalized,840,840,0.16421894724023833,0.13752110993085168,0.5321428571428571
5,16-28,S0,raw,840,840,0.16316970760992777,0.1359751577434275,0.5345238095238095
5,16-28,S1,normalized,840,840,0.16377488289455802,0.13531903787913316,0.525
5,16-28,S1,raw,840,840,0.16240253063657353,0.13187101228501105,0.5321428571428571
5,16-28,S2,normalized,840,840,0.1508939298142616,0.13639726145530273,0.5345238095238095
5,16-28,S2,raw,840,840,0.14795568182517474,0.13438362114910177,0.5380952380952381
5,16-28,S3,normalized,840,840,0.15237230189553158,0.1375795810688182,0.530952380952381
5,16-28,S3,raw,840,840,0.1492661985529375,0.1340233798202102,0.5357142857142857
5,6-15,S0,normalized,98,98,0.07963935700001464,0.09894229481858346,0.4897959183673469
5,6-15,S0,raw,98,98,0.04626528511803122,0.0630742060785624,0.4897959183673469
5,6-15,S1,normalized,98,98,0.05910064915471604,0.06974223616344381,0.47959183673469385
5,6-15,S1,raw,98,98,0.045348211838170525,0.06771480851009569,0.47959183673469385
5,6-15,S2,normalized,98,98,0.056146032735757245,0.06638869230916357,0.5
5,6-15,S2,raw,98,98,0.02305586047665181,0.03477911595659131,0.47959183673469385
5,6-15,S3,normalized,98,98,0.052036505880624306,0.0478485677307474,0.5
5,6-15,S3,raw,98,98,0.03646216806945714,0.047886821082697366,0.46938775510204084
5,empty,S0,normalized,7,0,,,
5,empty,S0,raw,7,0,,,
5,empty,S1,normalized,7,0,,,
5,empty,S1,raw,7,0,,,
5,empty,S2,normalized,7,0,,,
5,empty,S2,raw,7,0,,,
5,empty,S3,normalized,7,0,,,
5,empty,S3,raw,7,0,,,
