group,state_variant,horizon,n,nonzero_reference_count,pearson,spearman,sign_agreement
all,S0,5,1000,975,0.1304861594091131,0.1456809156720768,0.518974358974359
all,S0,10,1000,975,0.1315292092981826,0.14793501860583622,0.518974358974359
all,S0,20,1000,975,0.1317947103558444,0.1476645409118414,0.518974358974359
all,S0,50,1000,975,0.13179471035584453,0.14764450962178374,0.518974358974359
all,S1,5,1000,975,0.12830323308865424,0.14269856996001792,0.5117948717948718
all,S1,10,1000,975,0.1291574630071188,0.14494028261692937,0.5117948717948718
all,S1,20,1000,975,0.12939774716237384,0.14465388043088548,0.5117948717948718
all,S1,50,1000,975,0.12939774716237398,0.14463653722942524,0.5117948717948718
all,S2,5,1000,975,0.11701639532303261,0.14021265686082793,0.522051282051282
all,S2,10,1000,975,0.11839924713573846,0.1423087720227397,0.522051282051282
all,S2,20,1000,975,0.11873693407997456,0.14204684376822538,0.522051282051282
all,S2,50,1000,975,0.11873693407997465,0.14202900261681317,0.522051282051282
all,S3,5,1000,975,0.11866629521836494,0.14134489738164577,0.518974358974359
all,S3,10,1000,975,0.11959068035543721,0.1433064253468424,0.518974358974359
all,S3,20,1000,975,0.11987265988186427,0.1430292570618903,0.518974358974359
all,S3,50,1000,975,0.11987265988186437,0.1430145359192971,0.518974358974359
