dataset_index,neighbor_index,episode,neighbor_episode,task_id,neighbor_task_id,s0_distance,pair_reliability_distance,effective_mask_hamming,safe_mask_hamming,policy_probability_tv,flight_standardized_distance,inflight_workload_standardized_distance,backlog_observation_distance,return_gap,mask_alias,flight_alias,close_s0_neighbor,flight_queue_change_gap,next_task_backlog_gap,realized_latency_gap
0,26400,1,133,1,1,0.0,0.0006924798123938265,0,0,0.0,0.0,0.0,0.0,96.02696181093722,False,False,True,0.34119848750390813,0.34119848750390813,0.0
1,20401,1,103,2,2,0.0,0.0071815373280633985,0,0,0.0,0.0,0.0,0.0,268.1718911578427,False,False,True,0.24668189829332632,0.24668189829332632,0.053428727199552384
2,57602,1,289,3,3,0.0515972910552724,0.0013113726374002583,5,5,0.12342937,0.0,0.0,0.051597293,121.60041225836596,True,False,False,0.4155580990085026,0.0,0.008214480010821035
3,6203,1,32,4,4,0.0,0.01588058838674826,0,0,0.0,0.0,0.0,0.0,61.94345942033448,False,False,True,2.328167259384507,2.328167259384507,0.0
4,56604,1,284,5,5,0.0,0.00032249152968384767,0,0,0.0,20.758065113205188,8.037413233024521,0.0,39.80153321143359,False,True,True,0.07022191278962125,0.07022191278962125,0.12905568204663886
5,13005,1,66,6,6,0.0,0.02305526645836374,1,1,0.013922341,16.892368545431836,8.099954886870975,0.0,145.32148480568793,True,True,True,2.5069285313425436,2.5069285313425436,0.59742066918567
6,28559,1,143,7,160,0.2306152530706955,0.012061031549933904,0,0,0.01712874,0.0,0.0,0.22931635,61.62075738430889,False,False,False,1.6122251937528485,1.1724432677986805,0.06803620056332349
7,35207,1,177,8,8,0.15777629118705525,0.005906763373775964,0,0,0.014981786,21.262970724765093,10.389895052916609,0.15777628,197.78526779324818,False,True,False,5.949239096993363,7.06194085405691,1.4091361227384223
8,42508,1,213,9,109,0.47141582833323814,0.0071933115232707505,0,0,0.026576176,6.966411782631874,4.587877536342236,0.4553491,48.70659355539425,False,True,False,1.9625315868151967,1.3590991686551908,2.4587509303771853
9,29062,1,146,10,63,0.2147538767078766,0.0006722376041547929,0,0,0.0066491924,32.74973798825898,4.425360702250556,0.16221,5.704382887624888,False,True,False,3.727984935686215,1.4839539439194516,0.05955454998281162
10,42725,1,214,11,126,0.2044321699527138,0.01609929176874889,5,5,0.81102234,0.0,0.0,0.11326879,13.722718180838172,True,False,False,2.86184102670066,1.7980348688388554,0.23846260174068412
11,34611,1,174,12,12,0.12350699340770023,0.006535499656229317,2,2,0.02526092,0.0,0.0,0.12350699,94.47416070335004,True,False,False,1.5878432808840608,0.9641160713046935,0.0
12,43812,1,220,13,13,0.0,0.0023102739778319862,3,3,0.030056655,0.0,0.0,0.0,44.64378715885016,True,False,True,0.8994942949374715,0.8994942949374715,0.13521756333850377
