state_variant,gradient_updates,unit,loss,gradient_norm_before_clip
S0,400,50,0.15262611210346222,1.0936915874481201
S0,800,100,0.33354318141937256,0.19229765236377716
S0,1200,150,0.23572079837322235,1.056146264076233
S0,1600,200,0.3766133189201355,1.7761269807815552
S0,2000,250,0.30195358395576477,1.3821858167648315
S0,2400,300,0.35848432779312134,0.7026278972625732
S1,400,50,0.16457508504390717,0.5473980903625488
S1,800,100,0.3776116669178009,0.8563643097877502
S1,1200,150,0.35181155800819397,1.505569577217102
S1,1600,200,0.4290448725223541,1.4309251308441162
S1,2000,250,0.2066008597612381,0.7206903100013733
S1,2400,300,0.39977648854255676,0.6903237700462341
S2,400,50,0.2525218427181244,1.1257561445236206
S2,800,100,0.33013463020324707,0.1663537174463272
S2,1200,150,0.25428563356399536,0.9495899677276611
S2,1600,200,0.36958807706832886,1.4365092515945435
S2,2000,250,0.2793049216270447,1.4259834289550781
S2,2400,300,0.3557939827442169,0.5673911571502686
S3,400,50,0.1713789403438568,0.6493367552757263
S3,800,100,0.3808518350124359,0.7908549308776855
S3,1200,150,0.36011067032814026,1.5987993478775024
S3,1600,200,0.41969698667526245,1.4341628551483154
S3,2000,250,0.1721651554107666,0.7788354754447937
S3,2400,300,0.38775399327278137,0.6025304198265076
