state_mismatch,mask_mismatch,probability_mismatch,backlog_mismatch,task_mismatch,snapshot_mismatch,action_prefix_mismatch,future_arrival_mismatch,future_torch_rng_mismatch,episode,task_id,action_index,state_id
0,0,0,0,0,0,0,0,0,58,1,0,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,1,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,2,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,3,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,4,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,5,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,6,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,7,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,8,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,9,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,10,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,11,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,12,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,13,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,14,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,15,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,16,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,17,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,18,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,19,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,20,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,21,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,22,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,23,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,24,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,25,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,26,ep058_task001
0,0,0,0,0,0,0,0,0,58,1,27,ep058_task001
0,0,0,0,0,0,0,0,0,58,13,1,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,2,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,3,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,4,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,5,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,6,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,7,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,8,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,9,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,10,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,11,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,12,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,13,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,14,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,15,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,16,ep058_task013
