episode,task_id,state_id,split,dataset_index,max_backlog,load,requirement,safe_set_bin,safe_set_size,effective_set_size,action_index,selected_action,myopic_action,probability,q_h5,q_h10,q_h20,q_h50,legacy_q_h5,legacy_q_h10,legacy_q_h20,legacy_q_h50
296,1,ep296_task001,test,59000,0.0,low,0.99,16-28,28,28,0,8,5,0.008819740265607834,304.6720675148494,452.0385563935675,552.36522731026,574.0536990993096,86.59999372087208,385.8282661059336,517.8745108123084,602.7243379021496
296,1,ep296_task001,test,59000,0.0,low,0.99,16-28,28,28,1,8,5,0.009224295616149902,299.231600966967,446.5980898456851,546.9247607623777,568.6132325514272,81.15952717298968,380.38779955805126,512.434044264426,597.2838713542673
296,1,ep296_task001,test,59000,0.0,low,0.99,16-28,28,28,2,8,5,0.013307584449648857,317.3073213292121,464.67381020793016,565.0004811246228,586.6889529136723,99.23524753523478,398.46351992029633,530.5097646266711,615.3595917165123
296,1,ep296_task001,test,59000,0.0,low,0.99,16-28,28,28,3,8,5,0.011946271173655987,294.2892028704304,441.6556917491485,541.9823626658412,563.6708344548906,76.2171290764531,375.4454014615146,507.49164616788937,592.3414732577306
296,1,ep296_task001,test,59000,0.0,low,0.99,16-28,28,28,4,8,5,0.015284745953977108,315.9798574828327,463.3463463615508,563.6730172782434,585.361489067293,97.9077836888554,397.13605607391696,529.1823007802917,614.032127870133
296,1,ep296_task001,test,59000,0.0,low,0.99,16-28,28,28,5,8,5,0.02107071503996849,328.7781667830425,476.14465566176057,576.4713265784532,598.1597983675027,110.70609298906523,409.93436537412674,541.9806100805015,626.8304371703427
296,1,ep296_task001,test,59000,0.0,low,0.99,16-28,28,28,6,8,5,0.017948832362890244,314.7208389529685,462.0873278316866,562.4139987483792,584.1024705374288,96.64876515899124,395.87703754405277,527.9232822504275,612.7731093402688
296,1,ep296_task001,test,59000,0.0,low,0.99,16-28,28,28,7,8,5,0.013798289932310581,304.6720675148494,452.0385563935675,552.36522731026,574.0536990993096,86.59999372087208,385.8282661059336,517.8745108123084,602.7243379021496
296,1,ep296_task001,test,59000,0.0,low,0.99,16-28,28,28,8,8,5,0.025107216089963913,317.3073213292121,464.67381020793016,565.0004811246228,586.6889529136723,99.23524753523478,398.46351992029633,530.5097646266711,615.3595917165123
296,1,ep296_task001,test,59000,0.0,low,0.99,16-28,28,28,9,8,5,0.016073886305093765,304.6720675148494,452.0385563935675,552.36522731026,574.0536990993096,86.59999372087208,385.8282661059336,517.8745108123084,602.7243379021496
296,1,ep296_task001,test,59000,0.0,low,0.99,16-28,28,28,10,8,5,0.02687707170844078,315.9798574828327,463.3463463615508,563.6730172782434,585.361489067293,97.9077836888554,397.13605607391696,529.1823007802917,614.032127870133
