episode,task_id,state_id,split,dataset_index,max_backlog,load,requirement,safe_set_bin,safe_set_size,effective_set_size
1,1,ep001_task001,test,0,0.0,low,0.99,16-28,28,28
1,13,ep001_task013,test,12,0.0,low,0.999,16-28,25,25
1,26,ep001_task026,test,25,2.007322765278565,high,0.9999,16-28,17,17
1,38,ep001_task038,test,37,0.0,low,0.99,16-28,28,28
1,51,ep001_task051,test,50,0.6347937793334021,medium,0.999,16-28,24,24
1,63,ep001_task063,test,62,0.0,low,0.999,16-28,27,27
1,76,ep001_task076,test,75,0.9179872854087536,medium,0.9999,16-28,17,17
1,88,ep001_task088,test,87,2.0690982639475863,high,0.9999,16-28,24,24
1,100,ep001_task100,test,99,3.192878340003646,high,0.9999,16-28,17,17
1,113,ep001_task113,test,112,0.0,low,0.99,16-28,25,25
1,125,ep001_task125,test,124,1.8285186446782404,high,0.999,16-28,22,22
1,138,ep001_task138,test,137,1.609807602722027,medium,0.9,16-28,28,28
1,150,ep001_task150,test,149,1.670688065975196,medium,0.9,16-28,28,28
1,163,ep001_task163,test,162,0.0,low,0.9,16-28,28,28
1,175,ep001_task175,test,174,2.2004864069164682,high,0.9,16-28,28,28
1,188,ep001_task188,test,187,0.4713517357602396,medium,0.99,16-28,28,28
1,200,ep001_task200,test,199,1.180756312155097,medium,0.9999,6-15,6,6
3,1,ep003_task001,test,400,0.0,low,0.99,16-28,28,28
3,13,ep003_task013,test,412,2.10955374998453,high,0.999,16-28,28,28
3,26,ep003_task026,test,425,2.088563120345758,high,0.9999,16-28,18,18
3,38,ep003_task038,test,437,0.0,low,0.99,16-28,28,28
3,51,ep003_task051,test,450,0.0,low,0.999,16-28,28,28
3,63,ep003_task063,test,462,2.2519178358284364,high,0.999,16-28,28,28
3,76,ep003_task076,test,475,0.0,low,0.9999,16-28,18,18
3,88,ep003_task088,test,487,2.3986596399360733,high,0.9999,16-28,28,28
3,100,ep003_task100,test,499,3.0174998183985284,high,0.9999,16-28,19,19
3,113,ep003_task113,test,512,0.0,low,0.99,16-28,28,28
3,125,ep003_task125,test,524,3.3622540470970472,high,0.999,16-28,25,25
3,138,ep003_task138,test,537,0.0,low,0.9,16-28,28,28
3,150,ep003_task150,test,549,3.074168577100099,high,0.9,16-28,28,28
3,163,ep003_task163,test,562,1.2618329731323505,medium,0.9,16-28,28,28
3,175,ep003_task175,test,574,2.2570582236487478,high,0.9,16-28,28,28
3,188,ep003_task188,test,587,0.0,low,0.99,16-28,28,28
3,200,ep003_task200,test,599,0.6206741833204481,medium,0.9999,1-5,3,3
6,1,ep006_task001,test,1000,0.0,low,0.99,16-28,28,28
6,13,ep006_task013,test,1012,2.0968939057706772,high,0.999,16-28,27,27
6,26,ep006_task026,test,1025,1.1137694396160658,medium,0.9999,6-15,15,15
