episode,number_of_transitions,terminal_count,max_recursion_residual,missing_reward_count,invalid_delta_t_count,cross_episode_leakage_flag,terminal_time,replica_drain_time,pending_tasks,completed_replicas
1,200,1,5.684341886080802e-14,0,0,False,435.06158185388733,435.4858503061562,0,400
2,200,1,1.1368683772161603e-13,0,0,False,377.22697262023775,378.0848516001892,0,400
3,200,1,1.1368683772161603e-13,0,0,False,378.55107057250854,379.3731995211588,0,400
4,200,1,5.684341886080802e-14,0,0,False,420.09327398180864,420.999833777455,0,400
5,200,1,8.526512829121202e-14,0,0,False,479.15972754420665,479.2140899867818,0,400
6,200,1,8.526512829121202e-14,0,0,False,367.0495911340917,367.3425823892598,0,400
7,200,1,5.684341886080802e-14,0,0,False,420.74785533993537,420.8022177825105,0,400
8,200,1,5.684341886080802e-14,0,0,False,357.1083492623438,357.92301557272293,0,400
9,200,1,5.684341886080802e-14,0,0,False,423.40958700949113,424.55302367061495,0,400
10,200,1,8.526512829121202e-14,0,0,False,452.95231881377697,453.0066812563521,0,400
11,200,1,1.1368683772161603e-13,0,0,False,389.8918023332081,391.662208515666,0,400
12,200,1,1.1368683772161603e-13,0,0,False,392.2435411445413,392.643350470881,0,400
13,200,1,1.1368683772161603e-13,0,0,False,358.1628152830518,358.22126224705113,0,400
14,200,1,5.684341886080802e-14,0,0,False,402.52508473240994,404.25258521880346,0,400
15,200,1,1.1368683772161603e-13,0,0,False,385.4419411133361,387.0233430013284,0,400
16,200,1,1.1368683772161603e-13,0,0,False,436.9739199771797,438.49670539697223,0,400
17,200,1,1.1368683772161603e-13,0,0,False,395.69671664390876,395.7510790864839,0,400
18,200,1,5.684341886080802e-14,0,0,False,424.1339787329304,424.8375961832717,0,400
19,200,1,1.1368683772161603e-13,0,0,False,394.5356804453993,394.9425709396424,0,400
20,200,1,5.684341886080802e-14,0,0,False,381.5207322227869,381.82701694421894,0,400
21,200,1,5.684341886080802e-14,0,0,False,429.93391596812575,429.9947111907929,0,400
22,200,1,5.684341886080802e-14,0,0,False,441.3335428481022,441.38790529067734,0,400
23,200,1,1.1368683772161603e-13,0,0,False,385.3802200365581,385.43458247913327,0,400
24,200,1,5.684341886080802e-14,0,0,False,420.81782217253067,420.8721846151058,0,400
25,200,1,1.1368683772161603e-13,0,0,False,376.52457959341484,377.4010709846403,0,400
26,200,1,5.684341886080802e-14,0,0,False,390.5023863162376,390.57810226053124,0,400
27,200,1,1.1368683772161603e-13,0,0,False,388.10526197217075,388.39825322733884,0,400
28,200,1,1.1368683772161603e-13,0,0,False,391.2453206620502,393.1992893538393,0,400
29,200,1,1.1368683772161603e-13,0,0,False,426.49015292965566,427.98927596958856,0,400
30,200,1,5.684341886080802e-14,0,0,False,390.8488553557244,392.16597619640237,0,400
31,200,1,2.2737367544323206e-13,0,0,False,397.2331632251869,397.95042293262384,0,400
32,200,1,1.1368683772161603e-13,0,0,False,382.10162637755576,382.39461763272385,0,400
33,200,1,1.1368683772161603e-13,0,0,False,465.9885132917034,467.20818680919695,0,400
34,200,1,5.684341886080802e-14,0,0,False,395.31753623615464,396.9734388338927,0,400
35,200,1,5.684341886080802e-14,0,0,False,475.0483215210204,476.5586616455894,0,400
36,200,1,5.684341886080802e-14,0,0,False,370.19543356118726,370.2819436529713,0,400
37,200,1,1.1368683772161603e-13,0,0,False,404.80421488780723,405.8889866521717,0,400
38,200,1,5.684341886080802e-14,0,0,False,384.43697963714953,384.9882605330112,0,400
39,200,1,5.684341886080802e-14,0,0,False,373.83167536952436,377.0617646752885,0,400
40,200,1,1.1368683772161603e-13,0,0,False,380.9397725902164,381.81419947888855,0,400
41,200,1,5.684341886080802e-14,0,0,False,395.3856390578957,396.6346937100206,0,400
42,200,1,8.526512829121202e-14,0,0,False,392.60964861693634,393.55346711942116,0,400
43,200,1,1.1368683772161603e-13,0,0,False,404.0731951357824,405.1809330245056,0,400
44,200,1,5.684341886080802e-14,0,0,False,393.0478220778485,395.7815610282166,0,400
45,200,1,1.1368683772161603e-13,0,0,False,416.6833628208489,418.7842647452566,0,400
46,200,1,5.684341886080802e-14,0,0,False,453.03724882406067,453.33024007922876,0,400
47,200,1,1.1368683772161603e-13,0,0,False,374.4651784013748,376.43953840396523,0,400
48,200,1,5.684341886080802e-14,0,0,False,400.92756778588637,401.74969673453666,0,400
49,200,1,8.526512829121202e-14,0,0,False,401.1139859179728,402.14002235580637,0,400
50,200,1,5.684341886080802e-14,0,0,False,433.26431087200586,434.7623821759708,0,400
51,200,1,5.684341886080802e-14,0,0,False,431.86316560271604,432.1400664204267,0,400
52,200,1,5.684341886080802e-14,0,0,False,427.84693482109316,428.8483754981296,0,400
53,200,1,1.1368683772161603e-13,0,0,False,315.288132420648,316.16462381187347,0,400
54,200,1,5.684341886080802e-14,0,0,False,366.61339939044757,367.9305202311255,0,400
55,200,1,5.684341886080802e-14,0,0,False,421.5562766233075,423.5306366258979,0,400
56,200,1,8.526512829121202e-14,0,0,False,399.1712103114358,399.21797036177577,0,400
57,200,1,1.1368683772161603e-13,0,0,False,409.72015439500194,409.9587832075949,0,400
58,200,1,1.1368683772161603e-13,0,0,False,427.6779935540005,427.7323559965757,0,400
59,200,1,1.1368683772161603e-13,0,0,False,405.1036142032621,405.3966054584302,0,400
60,200,1,8.526512829121202e-14,0,0,False,422.1440233510287,423.02161782687034,0,400
61,200,1,1.1368683772161603e-13,0,0,False,378.61534139219395,379.04903425618363,0,400
62,200,1,5.684341886080802e-14,0,0,False,390.7830157243108,392.00523794653304,0,400
63,200,1,1.1368683772161603e-13,0,0,False,424.53445619009767,424.8095458697985,0,400
64,200,1,5.684341886080802e-14,0,0,False,429.53484840234904,429.9591168546179,0,400
65,200,1,1.1368683772161603e-13,0,0,False,387.9009283745672,389.25883605636807,0,400
66,200,1,1.1368683772161603e-13,0,0,False,420.2127052056939,420.505696460862,0,400
67,200,1,5.684341886080802e-14,0,0,False,412.595181644554,412.87208246226464,0,400
68,200,1,5.684341886080802e-14,0,0,False,443.6702261794439,443.72458862201904,0,400
69,200,1,5.684341886080802e-14,0,0,False,426.2095189637516,428.4317411859738,0,400
70,200,1,5.684341886080802e-14,0,0,False,453.67653195137336,453.96952320654145,0,400
71,200,1,5.684341886080802e-14,0,0,False,442.1477878855807,442.2021503281559,0,400
72,200,1,5.684341886080802e-14,0,0,False,400.2314687777505,401.1079601689759,0,400
73,200,1,1.1368683772161603e-13,0,0,False,370.6029824135178,370.65734485609295,0,400
74,200,1,5.684341886080802e-14,0,0,False,386.07364779196166,386.1280102345368,0,400
75,200,1,8.526512829121202e-14,0,0,False,406.59391276114246,408.3915566331172,0,400
76,200,1,1.1368683772161603e-13,0,0,False,382.5195109568852,382.75813976947813,0,400
77,200,1,5.684341886080802e-14,0,0,False,368.6585123608668,368.97311736504804,0,400
78,200,1,1.1368683772161603e-13,0,0,False,403.3877414544769,403.5674693010623,0,400
79,200,1,5.684341886080802e-14,0,0,False,426.5136008898917,427.33572983854197,0,400
80,200,1,1.1368683772161603e-13,0,0,False,368.86969082764824,370.24117411090134,0,400
81,200,1,5.684341886080802e-14,0,0,False,364.44251308398947,369.4808414645931,0,400
82,200,1,1.1368683772161603e-13,0,0,False,374.87337702501367,374.99123632126583,0,400
83,200,1,1.1368683772161603e-13,0,0,False,400.1626100320445,401.0391014232699,0,400
84,200,1,5.684341886080802e-14,0,0,False,412.00771738401136,413.41352453345115,0,400
85,200,1,8.526512829121202e-14,0,0,False,381.9738286794884,383.3533611482078,0,400
86,200,1,8.526512829121202e-14,0,0,False,346.74499214128247,347.3174978117427,0,400
87,200,1,1.1368683772161603e-13,0,0,False,388.5981750820041,390.737636639575,0,400
88,200,1,1.1368683772161603e-13,0,0,False,401.8538102978745,401.90817274044963,0,400
89,200,1,5.684341886080802e-14,0,0,False,456.8181484082082,457.6946397994336,0,400
90,200,1,5.684341886080802e-14,0,0,False,380.4609308650651,381.9727360076884,0,400
91,200,1,1.1368683772161603e-13,0,0,False,350.8778196596766,352.7428540611522,0,400
92,200,1,5.684341886080802e-14,0,0,False,405.81028258210284,406.5275422895398,0,400
93,200,1,1.1368683772161603e-13,0,0,False,355.1488917826855,357.13223043175316,0,400
94,200,1,1.1368683772161603e-13,0,0,False,349.39434081004345,352.8063556306867,0,400
95,200,1,1.1368683772161603e-13,0,0,False,425.6351946374874,426.6108073281764,0,400
96,200,1,1.1368683772161603e-13,0,0,False,393.95172619142784,396.19920989702933,0,400
97,200,1,5.684341886080802e-14,0,0,False,376.52738258097975,377.1967846885141,0,400
98,200,1,5.684341886080802e-14,0,0,False,419.36338952435773,420.4692469745771,0,400
99,200,1,5.684341886080802e-14,0,0,False,386.1204540684107,389.1925979718906,0,400
