state_id,horizon,selected_branch_return_residual
ep001_task001,5,5.684341886080802e-14
ep001_task001,10,0.0
ep001_task001,20,0.0
ep001_task001,50,5.684341886080802e-14
ep001_task013,5,0.0
ep001_task013,10,0.0
ep001_task013,20,0.0
ep001_task013,50,0.0
ep001_task026,5,0.0
ep001_task026,10,0.0
ep001_task026,20,0.0
ep001_task026,50,0.0
ep001_task038,5,0.0
ep001_task038,10,0.0
ep001_task038,20,0.0
ep001_task038,50,0.0
ep001_task051,5,0.0
ep001_task051,10,0.0
ep001_task051,20,0.0
ep001_task051,50,0.0
ep001_task063,5,0.0
ep001_task063,10,0.0
ep001_task063,20,0.0
ep001_task063,50,0.0
ep001_task076,5,0.0
ep001_task076,10,0.0
ep001_task076,20,0.0
ep001_task076,50,0.0
ep001_task088,5,0.0
ep001_task088,10,0.0
ep001_task088,20,0.0
ep001_task088,50,0.0
ep001_task100,5,0.0
ep001_task100,10,2.842170943040401e-14
ep001_task100,20,0.0
ep001_task100,50,0.0
ep001_task113,5,0.0
ep001_task113,10,0.0
ep001_task113,20,5.684341886080802e-14
ep001_task113,50,0.0
ep001_task125,5,0.0
ep001_task125,10,0.0
ep001_task125,20,5.684341886080802e-14
ep001_task125,50,0.0
ep001_task138,5,2.842170943040401e-14
ep001_task138,10,0.0
ep001_task138,20,0.0
ep001_task138,50,0.0
ep001_task150,5,0.0
ep001_task150,10,0.0
ep001_task150,20,0.0
ep001_task150,50,0.0
ep001_task163,5,0.0
ep001_task163,10,2.842170943040401e-14
ep001_task163,20,0.0
ep001_task163,50,0.0
ep001_task175,5,0.0
ep001_task175,10,0.0
ep001_task175,20,0.0
ep001_task175,50,0.0
ep001_task188,5,5.684341886080802e-14
ep001_task188,10,0.0
ep001_task188,20,0.0
ep001_task188,50,0.0
ep001_task200,5,0.0
ep001_task200,10,0.0
ep001_task200,20,0.0
ep001_task200,50,0.0
ep003_task001,5,0.0
ep003_task001,10,0.0
ep003_task001,20,0.0
ep003_task001,50,0.0
ep003_task013,5,0.0
ep003_task013,10,0.0
ep003_task013,20,0.0
ep003_task013,50,0.0
ep003_task026,5,0.0
ep003_task026,10,2.842170943040401e-14
ep003_task026,20,0.0
ep003_task026,50,0.0
ep003_task038,5,0.0
ep003_task038,10,0.0
ep003_task038,20,0.0
ep003_task038,50,0.0
ep003_task051,5,0.0
ep003_task051,10,0.0
ep003_task051,20,5.684341886080802e-14
ep003_task051,50,0.0
ep003_task063,5,5.684341886080802e-14
ep003_task063,10,5.684341886080802e-14
ep003_task063,20,5.684341886080802e-14
ep003_task063,50,0.0
ep003_task076,5,2.842170943040401e-14
ep003_task076,10,0.0
ep003_task076,20,0.0
ep003_task076,50,0.0
ep003_task088,5,0.0
ep003_task088,10,0.0
ep003_task088,20,5.684341886080802e-14
ep003_task088,50,0.0
ep003_task100,5,0.0
ep003_task100,10,0.0
ep003_task100,20,0.0
ep003_task100,50,0.0
ep003_task113,5,0.0
ep003_task113,10,0.0
ep003_task113,20,0.0
ep003_task113,50,5.684341886080802e-14
ep003_task125,5,1.4210854715202004e-14
ep003_task125,10,0.0
ep003_task125,20,0.0
ep003_task125,50,0.0
ep003_task138,5,8.526512829121202e-14
ep003_task138,10,0.0
ep003_task138,20,0.0
ep003_task138,50,0.0
ep003_task150,5,0.0
ep003_task150,10,0.0
ep003_task150,20,0.0
ep003_task150,50,5.684341886080802e-14
ep003_task163,5,0.0
ep003_task163,10,2.842170943040401e-14
ep003_task163,20,0.0
ep003_task163,50,0.0
ep003_task175,5,0.0
ep003_task175,10,0.0
ep003_task175,20,5.684341886080802e-14
ep003_task175,50,0.0
ep003_task188,5,0.0
ep003_task188,10,0.0
ep003_task188,20,0.0
ep003_task188,50,0.0
ep003_task200,5,0.0
ep003_task200,10,0.0
ep003_task200,20,0.0
ep003_task200,50,0.0
ep006_task001,5,0.0
ep006_task001,10,0.0
ep006_task001,20,0.0
ep006_task001,50,0.0
ep006_task013,5,0.0
ep006_task013,10,0.0
ep006_task013,20,5.684341886080802e-14
ep006_task013,50,0.0
ep006_task026,5,0.0
ep006_task026,10,5.684341886080802e-14
ep006_task026,20,0.0
ep006_task026,50,0.0
ep006_task038,5,0.0
ep006_task038,10,0.0
ep006_task038,20,0.0
ep006_task038,50,0.0
ep006_task051,5,0.0
ep006_task051,10,0.0
ep006_task051,20,0.0
ep006_task051,50,0.0
ep006_task063,5,0.0
ep006_task063,10,0.0
ep006_task063,20,0.0
ep006_task063,50,0.0
ep006_task076,5,0.0
ep006_task076,10,0.0
ep006_task076,20,0.0
ep006_task076,50,5.684341886080802e-14
ep006_task088,5,0.0
ep006_task088,10,0.0
ep006_task088,20,0.0
ep006_task088,50,0.0
ep006_task100,5,0.0
ep006_task100,10,0.0
ep006_task100,20,0.0
ep006_task100,50,0.0
ep006_task113,5,0.0
ep006_task113,10,5.684341886080802e-14
ep006_task113,20,2.842170943040401e-14
ep006_task113,50,0.0
ep006_task125,5,0.0
ep006_task125,10,0.0
ep006_task125,20,0.0
ep006_task125,50,0.0
ep006_task138,5,0.0
ep006_task138,10,5.684341886080802e-14
ep006_task138,20,0.0
ep006_task138,50,0.0
ep006_task150,5,0.0
ep006_task150,10,0.0
ep006_task150,20,5.684341886080802e-14
