arm,split,n,mae,rmse,pearson,spearman,r2,explained_variance,calibration_slope,calibration_intercept,prediction_mean,prediction_std,target_mean,target_std
V0,train,36000,294.897523680559,314.21425272208614,-0.23600817668177923,-0.22403769234021617,-7.298162297833041,-8.052723270424167e-07,-138338.44505434114,5926962.313564994,42.841487743059794,0.0001860883042048003,337.5153754878892,109.07743540259646
V0,validation,12000,307.5241973167146,326.24722799938104,-0.2254023387493658,-0.219039779125999,-7.915530293011573,-7.72852285502168e-07,-131477.66645542136,5633049.299342456,42.841489380518595,0.00018731806846674062,350.2481171564442,109.26303011580089
V0,test,12000,299.2686909941624,318.4440071358294,-0.2099333898421687,-0.19955796160182243,-7.5232615192751915,-7.187622244053671e-07,-122633.62313074715,5254148.993741384,42.84148863633474,0.00018672485559588956,342.0219529236573,109.07624360043513
V1,train,36000,294.2951432325071,313.6440196225903,-0.24509491827599733,-0.23157067921452257,-7.2680707722309865,-1.1244267281718123e-06,-106848.75869082894,4642875.077907649,43.449616255866154,0.00025020716612264533,337.5153754878892,109.07743540259646
V1,validation,12000,306.91967561815704,325.67428701130876,-0.23566144359469715,-0.22745796545615832,-7.884243667340753,-1.0845958822169877e-06,-102409.73259656373,4450014.10284481,43.44961891714732,0.0002514319953363926,350.2481171564442,109.26303011580089
V1,test,12000,298.66387776303895,317.8727383625954,-0.21852962986872662,-0.20684981700275992,-7.492708545216159,-1.0044107503492938e-06,-95091.47570161473,4132030.356965416,43.44961842823029,0.0002506680116761435,342.0219529236573,109.07624360043513
V2,train,36000,294.29509475819526,313.64397380077486,-0.24526962013934175,-0.23169810480057765,-7.268068356383965,-1.1280614193864835e-06,-106656.37091453817,4634521.123264916,43.44966520192888,0.0002508371597267769,337.5153754878892,109.07743540259646
V2,validation,12000,306.9196269531103,325.6742409420067,-0.23576681680173944,-0.2274949942684136,-7.884241153842497,-1.0877525860042425e-06,-102203.87346195066,4441074.606321843,43.44966788228353,0.00025205108115697203,350.2481171564442,109.26303011580089
V2,test,12000,298.66382908400504,317.87269243972776,-0.21868407012120666,-0.2069225511740456,-7.492706091344186,-1.0075357965710907e-06,-94930.57136649161,4125043.772202831,43.4496673819224,0.00025127033958309233,342.0219529236573,109.07624360043513
V3,train,36000,81.9729270844188,103.82803658419695,0.320011877129989,0.306588986285789,0.0939348088577362,0.10215178465204522,1.0526097026210839,-7.348799039551125,327.6277747285631,33.16146029130365,337.5153754878892,109.07743540259646
V3,validation,12000,84.41065094743905,106.53619951596117,0.30389534659283024,0.2933013934401086,0.04929031211861923,0.09235225479523002,1.0011735223977902,22.28916143325216,327.5745396639506,33.165605825551594,350.2481171564442,109.26303011580089
V3,test,12000,82.91464209033538,105.18681550924376,0.29545381702822193,0.28267424020955284,0.07004428418799102,0.08724360315918045,0.9767742650150244,21.916400706647096,327.7170208943685,32.993285831863126,342.0219529236573,109.07624360043513
SmallMLP,train,36000,81.53535391518402,103.30507602872157,0.3367812882778285,0.31828050272136366,0.1030391522098203,0.1112613232440034,1.1601061882018775,-42.56400777023373,327.62464947043526,31.66541096885825,337.5153754878892,109.07743540259646
SmallMLP,validation,12000,84.10536930872657,106.13436057350543,0.31674676093361587,0.30135466130451954,0.056448661911161935,0.0995659513188294,1.0955080999697049,-8.596486901383685,327.55997337468466,31.591469638544087,350.2481171564442,109.26303011580089
SmallMLP,test,12000,82.64212370950877,104.74020933313687,0.309299780299436,0.29192879066254424,0.07792440233866627,0.09520950440332909,1.074234566843339,-9.984724974469941,327.68139172108965,31.405857922297173,342.0219529236573,109.07624360043513
Ridge,train,36000,81.78853169536153,103.31560565041329,0.3207121655203062,0.3066803722067873,0.10285629304940902,0.10285629304940902,1.0000248112585055,-0.008374181230863087,337.51537548788923,34.9815925800316,337.5153754878892,109.07743540259646
Ridge,validation,12000,83.18077151631515,104.86592300000198,0.304431500636877,0.2934355951398161,0.07886711573434246,0.09243788073102466,0.9515130171148319,29.093757101020742,337.5196705445233,34.95812208974881,350.2481171564442,109.26303011580089
Ridge,test,12000,82.65371385759455,104.35685213777015,0.29468431898300823,0.2815343824207669,0.0846617848097676,0.08627005970866408,0.9251278990079806,29.65470547947558,337.64763529360073,34.7444484131179,342.0219529236573,109.07624360043513
