episode,task,C_i,j,k,f_j,f_k,lambda_j_0,lambda_k_0,distance_km,rho_jk,Z_j,Z_k,lambda_j_eff,lambda_k_eff,t_ij,t_ik,p_ij,p_ik,joint_failure,joint_success
1,1,43.20759758426878,1,2,14.89,11.47,0.001512760101333253,0.003165619220516837,1.9313933954397549,0.021009369147363816,-0.4255192182785894,0.3091462235597429,0.0007815473747619466,0.002943695196180466,2.9017862716097236,3.767009379622387,0.0022653137380059907,0.011027671887595264,2.4981136625192005e-05,0.9999750188633748
1,21,45.50457887351563,1,2,14.89,11.47,0.001512760101333253,0.003165619220516837,1.9313933954397549,0.021009369147363816,-0.4255192182785894,0.3091462235597429,0.0007815473747619466,0.002943695196180466,3.056049622129995,3.9672693002193222,0.0023855974879796677,0.011610503387644867,2.7697987715745018e-05,0.9999723020122843
1,41,55.49633659048928,1,2,14.89,11.47,0.001512760101333253,0.003165619220516837,1.9313933954397549,0.021009369147363816,-0.4255192182785894,0.3091462235597429,0.0007815473747619466,0.002943695196180466,3.7270877495291654,4.838390286877879,0.002908657281932233,0.014141798162031332,4.1133644203608305e-05,0.9999588663557963
1,61,52.07487047590578,1,2,14.89,11.47,0.001512760101333253,0.003165619220516837,1.9313933954397549,0.021009369147363816,-0.4255192182785894,0.3091462235597429,0.0007815473747619466,0.002943695196180466,3.4973049345806433,4.540093328326572,0.002729577401071177,0.013275740500002818,3.623716125129306e-05,0.9999637628387487
1,81,53.5985932196014,1,2,14.89,11.47,0.001512760101333253,0.003165619220516837,1.9313933954397549,0.021009369147363816,-0.4255192182785894,0.3091462235597429,0.0007815473747619466,0.002943695196180466,3.599636885131054,4.672937508247724,0.002809333174869747,0.013661526322899744,3.837977911827855e-05,0.9999616202208818
1,101,74.75354707657456,1,2,14.89,11.47,0.001512760101333253,0.003165619220516837,1.9313933954397549,0.021009369147363816,-0.4255192182785894,0.3091462235597429,0.0007815473747619466,0.002943695196180466,5.020385968876734,6.517310120015218,0.003915981940928972,0.019002114126819986,7.441193576009836e-05,0.9999255880642399
1,121,33.63993991992791,1,2,14.89,11.47,0.001512760101333253,0.003165619220516837,1.9313933954397549,0.021009369147363816,-0.4255192182785894,0.3091462235597429,0.0007815473747619466,0.002943695196180466,2.2592303505660114,2.9328631142047,0.0017641376261549975,0.00859629380743202,1.5165045351174028e-05,0.9999848349546488
1,141,47.02182939587593,1,2,14.89,11.47,0.001512760101333253,0.003165619220516837,1.9313933954397549,0.021009369147363816,-0.4255192182785894,0.3091462235597429,0.0007815473747619466,0.002943695196180466,3.157946903685422,4.0995492062664285,0.002465041894307513,0.011995299154690883,2.956891495106452e-05,0.9999704310850489
1,161,45.01544938245973,1,2,14.89,11.47,0.001512760101333253,0.003165619220516837,1.9313933954397549,0.021009369147363816,-0.4255192182785894,0.3091462235597429,0.0007815473747619466,0.002943695196180466,3.023200092844844,3.9246250551403423,0.0023599849423744583,0.011486421426073338,2.710778160730043e-05,0.9999728922183927
1,181,41.70215136698815,1,3,14.89,11.53,0.001512760101333253,0.002071964229127699,0.848949142165538,0.18306787663613355,-0.4255192182785894,2.0221035704723884,0.0007815473747619466,0.007585055400216465,2.8006817573531326,3.616838800259163,0.00218647165587041,0.02706103036468249,5.916817587102676e-05,0.999940831824129
2,1,43.20759758426878,1,3,14.89,11.53,0.001512760101333253,0.002071964229127699,0.848949142165538,0.18306787663613355,-0.2898040845921733,0.010143016293217755,0.000871179355985672,0.00151681307613079,2.9017862716097236,3.7474065554439537,0.00252478365410795,0.005667991246428677,1.431045165061007e-05,0.9999856895483494
2,21,45.50457887351563,1,3,14.89,11.53,0.001512760101333253,0.002071964229127699,0.848949142165538,0.18306787663613355,-0.2898040845921733,0.010143016293217755,0.000871179355985672,0.00151681307613079,3.056049622129995,3.946624360235527,0.0026588263848761205,0.005968409293967125,1.586896410653965e-05,0.9999841310358935
2,41,55.49633659048928,1,3,14.89,11.53,0.001512760101333253,0.002071964229127699,0.848949142165538,0.18306787663613355,-0.2898040845921733,0.010143016293217755,0.000871179355985672,0.00151681307613079,3.7270877495291654,4.813212193450935,0.003241696225225538,0.0072741575054013794,2.3580608926955667e-05,0.9999764193910731
2,61,52.07487047590578,1,3,14.89,11.53,0.001512760101333253,0.002071964229127699,0.848949142165538,0.18306787663613355,-0.2898040845921733,0.010143016293217755,0.000871179355985672,0.00151681307613079,3.4973049345806433,4.516467517424613,0.003042143137054688,0.00682722486792974,2.0769395277101558e-05,0.9999792306047229
2,81,53.5985932196014,1,3,14.89,11.53,0.001512760101333253,0.002071964229127699,0.848949142165538,0.18306787663613355,-0.2898040845921733,0.010143016293217755,0.000871179355985672,0.00151681307613079,3.599636885131054,4.648620400659271,0.0031310174527362507,0.007026287611853713,2.1999429140658485e-05,0.9999780005708594
2,101,74.75354707657456,1,3,14.89,11.53,0.001512760101333253,0.002071964229127699,0.848949142165538,0.18306787663613355,-0.2898040845921733,0.010143016293217755,0.000871179355985672,0.00151681307613079,5.020385968876734,6.483395236476546,0.004364106107691831,0.009785902043586111,4.2706714877688114e-05,0.9999572932851223
2,121,33.63993991992791,1,3,14.89,11.53,0.001512760101333253,0.002071964229127699,0.848949142165538,0.18306787663613355,-0.2898040845921733,0.010143016293217755,0.000871179355985672,0.00151681307613079,2.2592303505660114,2.9176010338185527,0.0019662592164658883,0.004415677500486712,8.682366582273054e-06,0.9999913176334178
2,141,47.02182939587593,1,3,14.89,11.53,0.001512760101333253,0.002071964229127699,0.848949142165538,0.18306787663613355,-0.2898040845921733,0.010143016293217755,0.000871179355985672,0.00151681307613079,3.157946903685422,4.078215905973629,0.0027473572372956325,0.006166797978257875,1.6942397056506846e-05,0.9999830576029435
2,161,45.01544938245973,1,4,14.89,13.5,0.001512760101333253,0.002388379573547085,1.4397725609322833,0.05616030311880285,-0.2898040845921733,-0.05518502080172596,0.000871179355985672,0.0016594182956599945,3.023200092844844,3.334477732034054,0.0026302842345499503,0.005518012884098875,1.4513942295088772e-05,0.9999854860577049
2,181,41.70215136698815,1,4,14.89,13.5,0.001512760101333253,0.002388379573547085,1.4397725609322833,0.05616030311880285,-0.2898040845921733,-0.05518502080172596,0.000871179355985672,0.0016594182956599945,2.8006817573531326,3.0890482494065292,0.0024369220024754406,0.0051129075443370215,1.2459756891417562e-05,0.9999875402431085
3,1,43.20759758426878,1,4,14.89,13.5,0.001512760101333253,0.002388379573547085,1.4397725609322833,0.05616030311880285,1.2827892972865795,0.5936796759007373,0.003065367001785194,0.0027886535311416553,2.9017862716097236,3.20056278401991,0.008855596054080669,0.008885548804123806,7.868683092813999e-05,0.9999213131690718
3,21,45.50457887351563,1,4,14.89,13.5,0.001512760101333253,0.002388379573547085,1.4397725609322833,0.05616030311880285,1.2827892972865795,0.5936796759007373,0.003065367001785194,0.0027886535311416553,3.056049622129995,3.3707095461863426,0.009324171461887625,0.009355701606816858,8.723416592821794e-05,0.9999127658340717
3,41,55.49633659048928,1,4,14.89,13.5,0.001512760101333253,0.002388379573547085,1.4397725609322833,0.05616030311880285,1.2827892972865795,0.5936796759007373,0.003065367001785194,0.0027886535311416553,3.7270877495291654,4.11083974744365,0.011359875560564364,0.011398249848619276,0.00012948269988853658,0.9998705173001114
3,61,52.07487047590578,1,4,14.89,13.5,0.001512760101333253,0.002388379573547085,1.4397725609322833,0.05616030311880285,1.2827892972865795,0.5936796759007373,0.003065367001785194,0.0027886535311416553,3.4973049345806433,3.857397813030058,0.010663263135174777,0.01069929698275522,0.00011408941908850046,0.9998859105809115
3,81,53.5985932196014,1,4,14.89,13.5,0.001512760101333253,0.002388379573547085,1.4397725609322833,0.05616030311880285,1.2827892972865795,0.5936796759007373,0.003065367001785194,0.0027886535311416553,3.599636885131054,3.970266164414918,0.010973554544667299,0.011010631099008919,0.00012082576093618442,0.9998791742390638
3,101,74.75354707657456,1,4,14.89,13.5,0.001512760101333253,0.002388379573547085,1.4397725609322833,0.05616030311880285,1.2827892972865795,0.5936796759007373,0.003065367001785194,0.0027886535311416553,5.020385968876734,5.537299783449968,0.015271514931664558,0.015323000221762298,0.00023400542668454227,0.9997659945733155
3,121,33.63993991992791,1,4,14.89,13.5,0.001512760101333253,0.002388379573547085,1.4397725609322833,0.05616030311880285,1.2827892972865795,0.5936796759007373,0.003065367001785194,0.0027886535311416553,2.2592303505660114,2.4918474014761416,0.0069014450520378185,0.006924811282946458,4.7791204564986495e-05,0.999952208795435
3,141,47.02182939587593,1,5,14.89,10.63,0.001512760101333253,0.001709914088673922,0.5222126575031668,0.35189398947555517,1.2827892972865795,0.5449567864429342,0.003065367001785194,0.0019201600805780897,3.157946903685422,4.423502295002439,0.009633563275293109,0.008457861842767143,8.147934723598444e-05,0.999918520652764
3,161,45.01544938245973,1,5,14.89,10.63,0.001512760101333253,0.001709914088673922,0.5222126575031668,0.35189398947555517,1.2827892972865795,0.5449567864429342,0.003065367001785194,0.0019201600805780897,3.023200092844844,4.2347553511250915,0.009224409481560685,0.008098437702762454,7.470330553119051e-05,0.9999252966944688
3,181,41.70215136698815,1,5,14.89,10.63,0.001512760101333253,0.001709914088673922,0.5222126575031668,0.35189398947555517,1.2827892972865795,0.5449567864429342,0.003065367001785194,0.0019201600805780897,2.8006817573531326,3.9230622170261658,0.008548370554719754,0.007504606223462655,6.415215486541478e-05,0.9999358478451346
4,1,43.20759758426878,1,5,14.89,10.63,0.001512760101333253,0.001709914088673922,0.5222126575031668,0.35189398947555517,0.5167777199879958,-0.3504871426248947,0.0016608973688529802,0.000938055104041029,2.9017862716097236,4.064684626930271,0.004807973695830736,0.003805638294392043,1.829740881528309e-05,0.9999817025911847
4,21,45.50457887351563,1,5,14.89,10.63,0.001512760101333253,0.001709914088673922,0.5222126575031668,0.35189398947555517,0.5167777199879958,-0.3504871426248947,0.0016608973688529802,0.000938055104041029,3.056049622129995,4.280769414253586,0.005062924748376469,0.004007545867337047,2.028990315199458e-05,0.999979710096848
4,41,55.49633659048928,1,5,14.89,10.63,0.001512760101333253,0.001709914088673922,0.5222126575031668,0.35189398947555517,0.5167777199879958,-0.3504871426248947,0.0016608973688529802,0.000938055104041029,3.7270877495291654,5.220727807195605,0.006171189740542599,0.004885357996181113,3.0148471144910636e-05,0.9999698515288551
4,61,52.07487047590578,1,5,14.89,10.63,0.001512760101333253,0.001709914088673922,0.5222126575031668,0.35189398947555517,0.5167777199879958,-0.3504871426248947,0.0016608973688529802,0.000938055104041029,3.4973049345806433,4.898858934704212,0.005791826889156506,0.004584856934286164,2.655469767493427e-05,0.999973445302325
4,81,53.5985932196014,1,5,14.89,10.63,0.001512760101333253,0.001709914088673922,0.5222126575031668,0.35189398947555517,0.5167777199879958,-0.3504871426248947,0.0016608973688529802,0.000938055104041029,3.599636885131054,5.042200679172286,0.005960791001850317,0.004718693899962146,2.8127148139380337e-05,0.9999718728518606
