Gamma,CPU_Heterogeneity_Scenario,Beta_p,Task_ID,Primary_Server,CPU_Mean,CPU_Std,CPU_CV,Best_Backup,Second_Backup,Best_Marginal,Second_Marginal,Marginal_Ratio,Best_Rho,Second_Rho,Best_Amplification,Second_Amplification,Observed_Amplification_Ratio,Required_Amplification_Ratio,Reversal_Margin,Actual_Reversal
0.0,C0,0.0,1,1,21.2975,0.0,0.0,2,3,0.0038731280338122126,0.0038731280338122126,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,1,2,21.2975,0.0,0.0,1,3,0.0038731280338122126,0.0038731280338122126,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,1,3,21.2975,0.0,0.0,1,2,0.0038731280338122126,0.0038731280338122126,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,1,4,21.2975,0.0,0.0,1,2,0.0038731280338122126,0.0038731280338122126,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,1,5,21.2975,0.0,0.0,1,2,0.0038731280338122126,0.0038731280338122126,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,1,6,21.2975,0.0,0.0,1,2,0.0038731280338122126,0.0038731280338122126,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,1,7,21.2975,0.0,0.0,1,2,0.0038731280338122126,0.0038731280338122126,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,1,8,21.2975,0.0,0.0,1,2,0.0038731280338122126,0.0038731280338122126,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,2,1,21.2975,0.0,0.0,2,3,0.0038890760989139313,0.0038890760989139313,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,2,2,21.2975,0.0,0.0,1,3,0.0038890760989139313,0.0038890760989139313,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,2,3,21.2975,0.0,0.0,1,2,0.0038890760989139313,0.0038890760989139313,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,2,4,21.2975,0.0,0.0,1,2,0.0038890760989139313,0.0038890760989139313,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,2,5,21.2975,0.0,0.0,1,2,0.0038890760989139313,0.0038890760989139313,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,2,6,21.2975,0.0,0.0,1,2,0.0038890760989139313,0.0038890760989139313,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,2,7,21.2975,0.0,0.0,1,2,0.0038890760989139313,0.0038890760989139313,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,2,8,21.2975,0.0,0.0,1,2,0.0038890760989139313,0.0038890760989139313,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,3,1,21.2975,0.0,0.0,2,3,0.002462596689932834,0.002462596689932834,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,3,2,21.2975,0.0,0.0,1,3,0.002462596689932834,0.002462596689932834,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,3,3,21.2975,0.0,0.0,1,2,0.002462596689932834,0.002462596689932834,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,3,4,21.2975,0.0,0.0,1,2,0.002462596689932834,0.002462596689932834,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,3,5,21.2975,0.0,0.0,1,2,0.002462596689932834,0.002462596689932834,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,3,6,21.2975,0.0,0.0,1,2,0.002462596689932834,0.002462596689932834,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,3,7,21.2975,0.0,0.0,1,2,0.002462596689932834,0.002462596689932834,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,3,8,21.2975,0.0,0.0,1,2,0.002462596689932834,0.002462596689932834,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,4,1,21.2975,0.0,0.0,2,3,0.003289531740607588,0.003289531740607588,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,4,2,21.2975,0.0,0.0,1,3,0.003289531740607588,0.003289531740607588,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,4,3,21.2975,0.0,0.0,1,2,0.003289531740607588,0.003289531740607588,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,4,4,21.2975,0.0,0.0,1,2,0.003289531740607588,0.003289531740607588,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,4,5,21.2975,0.0,0.0,1,2,0.003289531740607588,0.003289531740607588,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,4,6,21.2975,0.0,0.0,1,2,0.003289531740607588,0.003289531740607588,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,4,7,21.2975,0.0,0.0,1,2,0.003289531740607588,0.003289531740607588,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,4,8,21.2975,0.0,0.0,1,2,0.003289531740607588,0.003289531740607588,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,5,1,21.2975,0.0,0.0,2,3,0.0086190465317144,0.0086190465317144,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,5,2,21.2975,0.0,0.0,1,3,0.0086190465317144,0.0086190465317144,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,5,3,21.2975,0.0,0.0,1,2,0.0086190465317144,0.0086190465317144,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,5,4,21.2975,0.0,0.0,1,2,0.0086190465317144,0.0086190465317144,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,5,5,21.2975,0.0,0.0,1,2,0.0086190465317144,0.0086190465317144,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,5,6,21.2975,0.0,0.0,1,2,0.0086190465317144,0.0086190465317144,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,5,7,21.2975,0.0,0.0,1,2,0.0086190465317144,0.0086190465317144,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,5,8,21.2975,0.0,0.0,1,2,0.0086190465317144,0.0086190465317144,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,6,1,21.2975,0.0,0.0,2,3,0.004939274325906925,0.004939274325906925,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,6,2,21.2975,0.0,0.0,1,3,0.004939274325906925,0.004939274325906925,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,6,3,21.2975,0.0,0.0,1,2,0.004939274325906925,0.004939274325906925,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,6,4,21.2975,0.0,0.0,1,2,0.004939274325906925,0.004939274325906925,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,6,5,21.2975,0.0,0.0,1,2,0.004939274325906925,0.004939274325906925,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,6,6,21.2975,0.0,0.0,1,2,0.004939274325906925,0.004939274325906925,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,6,7,21.2975,0.0,0.0,1,2,0.004939274325906925,0.004939274325906925,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,6,8,21.2975,0.0,0.0,1,2,0.004939274325906925,0.004939274325906925,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,7,1,21.2975,0.0,0.0,2,3,0.0067214082305347995,0.0067214082305347995,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,7,2,21.2975,0.0,0.0,1,3,0.0067214082305347995,0.0067214082305347995,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,7,3,21.2975,0.0,0.0,1,2,0.0067214082305347995,0.0067214082305347995,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,7,4,21.2975,0.0,0.0,1,2,0.0067214082305347995,0.0067214082305347995,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,7,5,21.2975,0.0,0.0,1,2,0.0067214082305347995,0.0067214082305347995,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,7,6,21.2975,0.0,0.0,1,2,0.0067214082305347995,0.0067214082305347995,1.0,0.06799478979999132,0.19052302251529626,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,7,7,21.2975,0.0,0.0,1,2,0.0067214082305347995,0.0067214082305347995,1.0,0.13817150844591128,0.15181352681030647,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,7,8,21.2975,0.0,0.0,1,2,0.0067214082305347995,0.0067214082305347995,1.0,0.025396350832529932,0.1712773597674974,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,8,1,21.2975,0.0,0.0,2,3,0.004322657458110273,0.004322657458110273,1.0,0.021009369147363816,0.18306787663613355,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,8,2,21.2975,0.0,0.0,1,3,0.004322657458110273,0.004322657458110273,1.0,0.021009369147363816,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,8,3,21.2975,0.0,0.0,1,2,0.004322657458110273,0.004322657458110273,1.0,0.18306787663613355,0.05198802542815817,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,8,4,21.2975,0.0,0.0,1,2,0.004322657458110273,0.004322657458110273,1.0,0.05616030311880285,0.29867099860174734,1.0,1.0,1.0,1.0,1.0,False
0.0,C0,0.0,8,5,21.2975,0.0,0.0,1,2,0.004322657458110273,0.004322657458110273,1.0,0.35189398947555517,0.05141579143797567,1.0,1.0,1.0,1.0,1.0,False
