failure_rate_scale,reliability_requirement,total_samples,success_samples,success_rate,failure_rate
1.0,0.9,2800000,2800000,1.0,0.0
1.0,0.99,2800000,2799976,0.9999914285714285,8.571428571428571e-06
1.0,0.999,2800000,2775366,0.9912021428571428,0.008797857142857144
1.0,0.9999,2800000,2353179,0.8404210714285715,0.15957892857142858
3.0,0.9,2800000,2799999,0.9999996428571428,3.5714285714285716e-07
3.0,0.99,2800000,2782611,0.9937896428571429,0.0062103571428571425
3.0,0.999,2800000,2399566,0.8569878571428572,0.14301214285714287
3.0,0.9999,2800000,1469688,0.5248885714285715,0.4751114285714286
5.0,0.9,2800000,2799632,0.9998685714285714,0.00013142857142857143
5.0,0.99,2800000,2710651,0.9680896428571428,0.03191035714285714
5.0,0.999,2800000,1997361,0.7133432142857142,0.2866567857142857
5.0,0.9999,2800000,1102045,0.3935875,0.6064125
10.0,0.9,2800000,2788267,0.9958096428571429,0.004190357142857143
10.0,0.99,2800000,2394054,0.8550192857142858,0.1449807142857143
10.0,0.999,2800000,1447900,0.5171071428571429,0.4828928571428571
10.0,0.9999,2800000,596356,0.2129842857142857,0.7870157142857143
15.0,0.9,2800000,2752194,0.9829264285714285,0.017073571428571428
15.0,0.99,2800000,2081209,0.7432889285714286,0.2567110714285714
15.0,0.999,2800000,1162409,0.4151460714285714,0.5848539285714286
15.0,0.9999,2800000,363788,0.12992428571428571,0.8700757142857143
