Alpha,Heterogeneity_Scenario,Beta_p,Task_ID,Primary_Server,Best_Backup,Second_Backup,Best_Marginal,Second_Marginal,Marginal_Ratio,Best_Rho,Second_Rho,Best_Amplification,Second_Amplification,Required_Amplification_Ratio,Observed_Amplification_Ratio,Reversal_Margin,Actual_Reversal
0.0,H0,0.0,1,1,8,7,0.001465617056235133,0.0020563659932977883,1.4030718218988028,0.025396350832529932,0.13817150844591128,1.0,1.0,1.4030718218988028,1.0,0.7127218894943537,False
0.0,H0,0.0,1,2,8,7,0.001465617056235133,0.0020563659932977883,1.4030718218988028,0.1712773597674974,0.15181352681030647,1.0,1.0,1.4030718218988028,1.0,0.7127218894943537,False
0.0,H0,0.0,1,3,8,7,0.001465617056235133,0.0020563659932977883,1.4030718218988028,0.02802898486305948,0.2198676965397751,1.0,1.0,1.4030718218988028,1.0,0.7127218894943537,False
0.0,H0,0.0,1,4,8,7,0.001465617056235133,0.0020563659932977883,1.4030718218988028,0.09898217615586608,0.3447276787973151,1.0,1.0,1.4030718218988028,1.0,0.7127218894943537,False
0.0,H0,0.0,1,5,8,7,0.001465617056235133,0.0020563659932977883,1.4030718218988028,0.07217003908143543,0.3245189745730765,1.0,1.0,1.4030718218988028,1.0,0.7127218894943537,False
0.0,H0,0.0,1,6,8,7,0.001465617056235133,0.0020563659932977883,1.4030718218988028,0.3540107070824934,0.3499394055117266,1.0,1.0,1.4030718218988028,1.0,0.7127218894943537,False
0.0,H0,0.0,1,7,8,1,0.001465617056235133,0.005535201652160539,3.7767038999800717,0.12671319237019502,0.13817150844591128,1.0,1.0,3.7767038999800717,1.0,0.26478114951115883,False
0.0,H0,0.0,1,8,7,1,0.0020563659932977883,0.005535201652160539,2.691739539654491,0.12671319237019502,0.025396350832529932,1.0,1.0,2.691739539654491,1.0,0.37150696984908094,False
0.0,H0,0.0,2,1,8,7,0.0014716592303594751,0.0020648410783576585,1.403070110091512,0.025396350832529932,0.13817150844591128,1.0,1.0,1.403070110091512,1.0,0.7127227590464296,False
0.0,H0,0.0,2,2,8,7,0.0014716592303594751,0.0020648410783576585,1.403070110091512,0.1712773597674974,0.15181352681030647,1.0,1.0,1.403070110091512,1.0,0.7127227590464296,False
0.0,H0,0.0,2,3,8,7,0.0014716592303594751,0.0020648410783576585,1.403070110091512,0.02802898486305948,0.2198676965397751,1.0,1.0,1.403070110091512,1.0,0.7127227590464296,False
0.0,H0,0.0,2,4,8,7,0.0014716592303594751,0.0020648410783576585,1.403070110091512,0.09898217615586608,0.3447276787973151,1.0,1.0,1.403070110091512,1.0,0.7127227590464296,False
0.0,H0,0.0,2,5,8,7,0.0014716592303594751,0.0020648410783576585,1.403070110091512,0.07217003908143543,0.3245189745730765,1.0,1.0,1.403070110091512,1.0,0.7127227590464296,False
0.0,H0,0.0,2,6,8,7,0.0014716592303594751,0.0020648410783576585,1.403070110091512,0.3540107070824934,0.3499394055117266,1.0,1.0,1.403070110091512,1.0,0.7127227590464296,False
0.0,H0,0.0,2,7,8,1,0.0014716592303594751,0.005557974387124889,3.7766721211453746,0.12671319237019502,0.13817150844591128,1.0,1.0,3.7766721211453746,1.0,0.26478337751404374,False
0.0,H0,0.0,2,8,7,1,0.0020648410783576585,0.005557974387124889,2.691720174196463,0.12671319237019502,0.025396350832529932,1.0,1.0,2.691720174196463,1.0,0.37150964263903163,False
0.0,H0,0.0,3,1,8,7,0.0009314530143678391,0.0013070364231634582,1.4032231395488273,0.025396350832529932,0.13817150844591128,1.0,1.0,1.4032231395488273,1.0,0.7126450325794413,False
0.0,H0,0.0,3,2,8,7,0.0009314530143678391,0.0013070364231634582,1.4032231395488273,0.1712773597674974,0.15181352681030647,1.0,1.0,1.4032231395488273,1.0,0.7126450325794413,False
0.0,H0,0.0,3,3,8,7,0.0009314530143678391,0.0013070364231634582,1.4032231395488273,0.02802898486305948,0.2198676965397751,1.0,1.0,1.4032231395488273,1.0,0.7126450325794413,False
0.0,H0,0.0,3,4,8,7,0.0009314530143678391,0.0013070364231634582,1.4032231395488273,0.09898217615586608,0.3447276787973151,1.0,1.0,1.4032231395488273,1.0,0.7126450325794413,False
0.0,H0,0.0,3,5,8,7,0.0009314530143678391,0.0013070364231634582,1.4032231395488273,0.07217003908143543,0.3245189745730765,1.0,1.0,1.4032231395488273,1.0,0.7126450325794413,False
0.0,H0,0.0,3,6,8,7,0.0009314530143678391,0.0013070364231634582,1.4032231395488273,0.3540107070824934,0.3499394055117266,1.0,1.0,1.4032231395488273,1.0,0.7126450325794413,False
0.0,H0,0.0,3,7,8,1,0.0009314530143678391,0.003520439932749447,3.7795142411329334,0.12671319237019502,0.13817150844591128,1.0,1.0,3.7795142411329334,1.0,0.26458426564897497,False
0.0,H0,0.0,3,8,7,1,0.0013070364231634582,0.003520439932749447,2.693452049506642,0.12671319237019502,0.025396350832529932,1.0,1.0,2.693452049506642,1.0,0.3712707639191755,False
0.0,H0,0.0,4,1,8,7,0.0012445538420239343,0.0017462763686920675,1.40313444844798,0.025396350832529932,0.13817150844591128,1.0,1.0,1.40313444844798,1.0,0.7126900783500179,False
0.0,H0,0.0,4,2,8,7,0.0012445538420239343,0.0017462763686920675,1.40313444844798,0.1712773597674974,0.15181352681030647,1.0,1.0,1.40313444844798,1.0,0.7126900783500179,False
0.0,H0,0.0,4,3,8,7,0.0012445538420239343,0.0017462763686920675,1.40313444844798,0.02802898486305948,0.2198676965397751,1.0,1.0,1.40313444844798,1.0,0.7126900783500179,False
0.0,H0,0.0,4,4,8,7,0.0012445538420239343,0.0017462763686920675,1.40313444844798,0.09898217615586608,0.3447276787973151,1.0,1.0,1.40313444844798,1.0,0.7126900783500179,False
0.0,H0,0.0,4,5,8,7,0.0012445538420239343,0.0017462763686920675,1.40313444844798,0.07217003908143543,0.3245189745730765,1.0,1.0,1.40313444844798,1.0,0.7126900783500179,False
0.0,H0,0.0,4,6,8,7,0.0012445538420239343,0.0017462763686920675,1.40313444844798,0.3540107070824934,0.3499394055117266,1.0,1.0,1.40313444844798,1.0,0.7126900783500179,False
0.0,H0,0.0,4,7,8,1,0.0012445538420239343,0.0047017585657822825,3.77786673988819,0.12671319237019502,0.13817150844591128,1.0,1.0,3.77786673988819,1.0,0.2646996489954529,False
0.0,H0,0.0,4,8,7,1,0.0017462763686920675,0.0047017585657822825,2.6924481428468408,0.12671319237019502,0.025396350832529932,1.0,1.0,2.6924481428468408,1.0,0.37140919599760874,False
0.0,H0,0.0,5,1,8,7,0.0032663449345632914,0.0045812495712460825,1.4025614756019615,0.025396350832529932,0.13817150844591128,1.0,1.0,1.4025614756019615,1.0,0.7129812257040732,False
0.0,H0,0.0,5,2,8,7,0.0032663449345632914,0.0045812495712460825,1.4025614756019615,0.1712773597674974,0.15181352681030647,1.0,1.0,1.4025614756019615,1.0,0.7129812257040732,False
0.0,H0,0.0,5,3,8,7,0.0032663449345632914,0.0045812495712460825,1.4025614756019615,0.02802898486305948,0.2198676965397751,1.0,1.0,1.4025614756019615,1.0,0.7129812257040732,False
0.0,H0,0.0,5,4,8,7,0.0032663449345632914,0.0045812495712460825,1.4025614756019615,0.09898217615586608,0.3447276787973151,1.0,1.0,1.4025614756019615,1.0,0.7129812257040732,False
0.0,H0,0.0,5,5,8,7,0.0032663449345632914,0.0045812495712460825,1.4025614756019615,0.07217003908143543,0.3245189745730765,1.0,1.0,1.4025614756019615,1.0,0.7129812257040732,False
0.0,H0,0.0,5,6,8,7,0.0032663449345632914,0.0045812495712460825,1.4025614756019615,0.3540107070824934,0.3499394055117266,1.0,1.0,1.4025614756019615,1.0,0.7129812257040732,False
0.0,H0,0.0,5,7,8,1,0.0032663449345632914,0.012305115355779416,3.767243081271392,0.12671319237019502,0.13817150844591128,1.0,1.0,3.767243081271392,1.0,0.2654461043332818,False
0.0,H0,0.0,5,8,7,1,0.0045812495712460825,0.012305115355779416,2.6859735896100663,0.12671319237019502,0.025396350832529932,1.0,1.0,2.6859735896100663,1.0,0.37230447978647996,False
0.0,H0,0.0,6,1,8,7,0.0018696757968196353,0.0026230753807292423,1.4029573390162926,0.025396350832529932,0.13817150844591128,1.0,1.0,1.4029573390162926,1.0,0.7127800483948906,False
0.0,H0,0.0,6,2,8,7,0.0018696757968196353,0.0026230753807292423,1.4029573390162926,0.1712773597674974,0.15181352681030647,1.0,1.0,1.4029573390162926,1.0,0.7127800483948906,False
0.0,H0,0.0,6,3,8,7,0.0018696757968196353,0.0026230753807292423,1.4029573390162926,0.02802898486305948,0.2198676965397751,1.0,1.0,1.4029573390162926,1.0,0.7127800483948906,False
0.0,H0,0.0,6,4,8,7,0.0018696757968196353,0.0026230753807292423,1.4029573390162926,0.09898217615586608,0.3447276787973151,1.0,1.0,1.4029573390162926,1.0,0.7127800483948906,False
0.0,H0,0.0,6,5,8,7,0.0018696757968196353,0.0026230753807292423,1.4029573390162926,0.07217003908143543,0.3245189745730765,1.0,1.0,1.4029573390162926,1.0,0.7127800483948906,False
0.0,H0,0.0,6,6,8,7,0.0018696757968196353,0.0026230753807292423,1.4029573390162926,0.3540107070824934,0.3499394055117266,1.0,1.0,1.4029573390162926,1.0,0.7127800483948906,False
0.0,H0,0.0,6,7,8,1,0.0018696757968196353,0.007057239476666657,3.7745792552223203,0.12671319237019502,0.13817150844591128,1.0,1.0,3.7745792552223203,1.0,0.2649301901970795,False
0.0,H0,0.0,6,8,7,1,0.0026230753807292423,0.007057239476666657,2.6904447842077155,0.12671319237019502,0.025396350832529932,1.0,1.0,2.6904447842077155,1.0,0.37168575466397497,False
0.0,H0,0.0,7,1,8,7,0.0025456883958761343,0.0035710045215002493,1.4027657616246618,0.025396350832529932,0.13817150844591128,1.0,1.0,1.4027657616246618,1.0,0.7128773936154639,False
0.0,H0,0.0,7,2,8,7,0.0025456883958761343,0.0035710045215002493,1.4027657616246618,0.1712773597674974,0.15181352681030647,1.0,1.0,1.4027657616246618,1.0,0.7128773936154639,False
0.0,H0,0.0,7,3,8,7,0.0025456883958761343,0.0035710045215002493,1.4027657616246618,0.02802898486305948,0.2198676965397751,1.0,1.0,1.4027657616246618,1.0,0.7128773936154639,False
0.0,H0,0.0,7,4,8,7,0.0025456883958761343,0.0035710045215002493,1.4027657616246618,0.09898217615586608,0.3447276787973151,1.0,1.0,1.4027657616246618,1.0,0.7128773936154639,False
0.0,H0,0.0,7,5,8,7,0.0025456883958761343,0.0035710045215002493,1.4027657616246618,0.07217003908143543,0.3245189745730765,1.0,1.0,1.4027657616246618,1.0,0.7128773936154639,False
0.0,H0,0.0,7,6,8,7,0.0025456883958761343,0.0035710045215002493,1.4027657616246618,0.3540107070824934,0.3499394055117266,1.0,1.0,1.4027657616246618,1.0,0.7128773936154639,False
