Beta_p,Independent_Baseline_Type,Server_J,Server_K,Distance_km,Rho_phy,Empirical_Latent_Correlation,Theoretical_Latent_Correlation,Empirical_Hazard_Correlation,Theoretical_Hazard_Correlation,Mean_Marginal_Failure_J_Spatial,Mean_Marginal_Failure_K_Spatial,Mean_Joint_Failure_Spatial,Mean_Joint_Failure_Independent,Mean_Joint_Failure_Amplification,Mean_Excess_Joint_Failure,Mean_Relative_Joint_Underestimation,Mean_Binary_Failure_Correlation,Max_Binary_Failure_Correlation,Max_Joint_Failure_Amplification,Max_Absolute_Marginal_Difference
0.0,matched_marginal_product,1,2,1.9313933954397549,0.021009369147363816,0.019303665551603847,0.021009369147363816,,,0.005221730007324188,0.014114534251119882,8.196812567234312e-05,8.196812567234312e-05,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,1,3,0.848949142165538,0.18306787663613355,0.18265252158023934,0.18306787663613355,,,0.005221730007324188,0.009215534332563334,5.353080209107589e-05,5.353080209107589e-05,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,1,4,1.4397725609322833,0.05616030311880285,0.05245971184276063,0.05616030311880285,,,0.005221730007324188,0.009073435947168805,5.2705755205554455e-05,5.2705755205554455e-05,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,1,5,0.5222126575031668,0.35189398947555517,0.351762826067618,0.35189398947555517,,,0.005221730007324188,0.008253590126339505,4.7945368044214275e-05,4.7945368044214275e-05,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,1,6,1.3441620986649503,0.06799478979999132,0.06394009410891056,0.06799478979999132,,,0.005221730007324188,0.016458485232001874,9.556922192343763e-05,9.556922192343763e-05,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,1,7,0.989629775327275,0.13817150844591128,0.13879438394690585,0.13817150844591128,,,0.005221730007324188,0.0002842851860467365,1.652066455987339e-06,1.652066455987339e-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,1,8,1.836574891644758,0.025396350832529932,0.024924455797724225,0.025396350832529932,,,0.005221730007324188,0.0003754582200864641,2.1818905781097388e-06,2.1818905781097388e-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,2,3,1.4783709335735,0.05198802542815817,0.05101761731169511,0.05198802542815817,,,0.014114534251119882,0.009215534332563334,0.0001446326683986781,0.0001446326683986781,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,2,4,0.60420632526679,0.29867099860174734,0.29299833241058426,0.29867099860174734,,,0.014114534251119882,0.009073435947168805,0.00014240350324542053,0.00014240350324542053,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,2,5,1.483904963642815,0.05141579143797567,0.05170135201603366,0.05141579143797567,,,0.014114534251119882,0.008253590126339505,0.00012954158370206373,0.00012954158370206373,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,2,6,0.8289911193094304,0.19052302251529626,0.19137142217651287,0.19052302251529626,,,0.014114534251119882,0.016458485232001874,0.0002582150031783107,0.0002582150031783107,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,2,7,0.9425511542841537,0.15181352681030647,0.15192651599834628,0.15181352681030647,,,0.014114534251119882,0.0002842851860467365,4.463640519933416e-06,4.463640519933416e-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,2,8,0.8822355247676016,0.1712773597674974,0.1698816308626508,0.1712773597674974,,,0.014114534251119882,0.0003754582200864641,5.895147483954459e-06,5.895147483954459e-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,3,4,0.878706288195088,0.1724905931622923,0.1723698024491774,0.1724905931622923,,,0.009215534332563334,0.009073435947168805,9.299919589630257e-05,9.299919589630257e-05,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,3,5,0.8574841534545671,0.1799694244100487,0.18288197191683087,0.1799694244100487,,,0.009215534332563334,0.008253590126339505,8.459949497417794e-05,8.459949497417794e-05,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,3,6,1.2822336742801248,0.07696016346817264,0.07610017267271235,0.07696016346817264,,,0.009215534332563334,0.016458485232001874,0.00016863183161235063,0.00016863183161235063,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,3,7,0.7573646464477674,0.2198676965397751,0.2176397948861664,0.2198676965397751,,,0.009215534332563334,0.0002842851860467365,2.9150650266004335e-06,2.9150650266004335e-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,3,8,1.78725806527452,0.02802898486305948,0.03011370433827461,0.02802898486305948,,,0.009215534332563334,0.0003754582200864641,3.849937728932328e-06,3.849937728932328e-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,4,5,1.0838445765538174,0.11444176899201255,0.11580492741275254,0.11444176899201255,,,0.009073435947168805,0.008253590126339505,8.329559889807638e-05,8.329559889807638e-05,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,4,6,0.7963105702239037,0.20339179397623902,0.2027625714227629,0.20339179397623902,,,0.009073435947168805,0.016458485232001874,0.00016603277547489907,0.00016603277547489907,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,4,7,0.5325002552302455,0.3447276787973151,0.3466890355543499,0.3447276787973151,,,0.009073435947168805,0.0002842851860467365,2.870136457183949e-06,2.870136457183949e-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,4,8,1.1564077419430592,0.09898217615586608,0.09571089135001869,0.09898217615586608,,,0.009073435947168805,0.0003754582200864641,3.790600391049749e-06,3.790600391049749e-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,5,6,0.8263780820651767,0.19152131632955052,0.19484497015945473,0.19152131632955052,,,0.008253590126339505,0.016458485232001874,0.0001510366461913774,0.0001510366461913774,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,5,7,0.5627056356434252,0.3245189745730765,0.3243505498030459,0.3245189745730765,,,0.008253590126339505,0.0002842851860467365,2.610905840358059e-06,2.610905840358059e-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,matched_marginal_product,5,8,1.314365145189487,0.07217003908143543,0.07919871655927567,0.07217003908143543,,,0.008253590126339505,0.0003754582200864641,3.4482334992760836e-06,3.4482334992760836e-06,1.0,0.0,0.0,0.0,0.0,1.0,0.0
